1368535321148,124
1368535321252,101
1368535321353,100
1368535321465,111
1368535321576,110
1368535321684,107
1368535321784,100
1368535321893,108
1368535322000,106
1368535322133,107
1368535322237,103
1368535322340,102
1368535322443,102
1368535322546,102
1368535322650,104
1368535322753,102
1368535322855,101
1368535322966,110
1368535323076,110
1368535323182,106
1368535323286,103
1368535323390,104
1368535323493,102
1368535323595,101
1368535323710,114
1368535323816,105
1368535323920,103
1368535324027,107
1368535324134,106
1368535324245,110
1368535324359,112
1368535324465,105
1368535324578,113
1368535324685,106
1368535324787,102
1368535324889,101
1368535324992,102
1368535325096,103
1368535325198,102
1368535325301,102
1368535325409,107
1368535325515,105
1368535325618,102
1368535325722,104
1368535325824,101
1368535325926,101
1368535326030,103
1368535326134,103
1368535326236,102
1368535326338,101
1368535326439,100
1368535326541,101
1368535326644,102
1368535326747,103
1368535326850,103
1368535326951,101
1368535327062,110
1368535327175,112
1368535327284,108
1368535327390,102
1368535327492,101
1368535327597,105
1368535327700,103
1368535327809,109
1368535327913,103
1368535328014,100
1368535328120,105
1368535328224,103
1368535328329,104
1368535328433,104
1368535328566,132
1368535328695,127
1368535328800,104
1368535328904,103
1368535329007,102
1368535329112,105
1368535329216,104
1368535329318,102
1368535329420,101
1368535329525,104
1368535329627,102
1368535329728,100
1368535329832,103
1368535378524,110
1368535378628,102
1368535378733,104
1368535378833,99
1368535378933,99
1368535379036,101
1368535379137,100
1368535379238,99
1368535379340,101
1368535379443,102
1368535379548,104
1368535379648,99
1368535379748,99
1368535379850,100
1368535379950,99
1368535380053,101
1368535380154,100
1368535380257,101
1368535380361,103
1368535380463,101
1368535380570,106
1368535380673,102
1368535380777,103
1368535380883,105
1368535380990,106
1368535381103,111
1368535381214,109
1368535381324,108
1368535381429,104
1368535381556,125
1368535381661,104
1368535381762,100
1368535381863,100
1368535381970,105
1368535382074,103
1368535395958,162
1368535396125,164
1368535396275,148
1368535396408,132
1368535396539,130
1368535396671,130
1368535396803,131
1368535396936,131
1368535397073,136
1368535397206,133
1368535397344,137
1368535397478,133
1368535397615,136
1368535397748,132
1368535397880,131
1368535398010,129
1368535398147,136
1368535398280,132
1368535398413,132
1368535398543,129
1368535398678,134
1368535398808,129
1368535398945,136
1368535399076,130
1368535399223,146
1368535399355,131
1368535399509,153
1368535399639,130
1368535399789,149
